"Enterprise";"DnsName";"SysDescr";"SysObjectid";"SysUptime";"SysContact";"SysName";"SysLocation";"IfNumber";"IfDescr";"IfSpeed";"IfIndex";"IpForwarding";"IpAdentAddr";"IpAdentIfIndex";"IpAdentNetMask";"IpRouteDest";"IpRouteIfIndex";"IpRouteNexthop";"IpRouteType";"IpRouteMask";"CommunityGet";"Note";"Label";"Label2";"Label3";"RouteComment";"FtpText";"SmtpText";"HttpText";"Pop3Text";"TelneTtext";"Cust1Text";"Cust2Text";"Cust3Text";"Cust1PortText";"Cust2PorTtext";"Cust3PorTtext";"Cust1PortNb";"Cust2PortNb";"Cust3PortNb";"ARPMacAddr";"MacEnterprise";"TcpPorts";"FirstTime";"LastTime";"SmtpAddr";"MacAddr";"NetbiosName";"NetbiosDomain";"SnmpMacAddr";"SnmpNetbiosDomain";"NbNetbiosname";"NbDomainname";"NbVersion";"NbMacaddress";"NbAdaptertype";"WmiMacaddr";"WmiIpaddr";"WmiCol01";"WmiClass01";"WmiValue01";"WmiCol02";"WmiClass02";"WmiValue02";"WmiCol03";"WmiClass03";"WmiValue03";"WmiCol04";"WmiClass04";"WmiValue04";"WmiCol05";"WmiClass05";"WmiValue05";"WmiCol06";"WmiClass06";"WmiValue06";"WmiCol07";"WmiClass07";"WmiValue07";"WmiCol08";"WmiClass08";"WmiValue08";"WmiCol09";"WmiClass09";"WmiValue09";"WmiCol10";"WmiClass10";"Wmi Value10";"WmiCol11";"WmiClass11";"WmiValue11";"WmiCol12";"WmiClass12";"WmiValue12";"WmiCol13";"WmiClass13";"WmiValue13";"WmiCol14";"WmiClass14";"WmiValue14";"WmiCol15";"WmiClass15";"WmiValue15";"WmiCol16";"WmiClass16";"WmiValue16";"NetNumber";"IPAddress";"Type";"SendAlerts";"Locked";"Timeout";"Monitored";"UseTimeout";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.122";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"00-E0-4C-14-C9-56";"";"";"05/25/17 09:31:30 AM";"05/25/17 09:31:30 AM";"";"00-E0-4C-14-C9-56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.122";"1";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.124";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"00-23-89-50-80-2B";"";"80";"05/25/17 09:31:44 AM";"05/25/17 09:31:44 AM";"";"00-23-89-50-80-2B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.124";"1";"0";"0";"250";"1";"0";
"";"bogon";"Linux localhost.localdomain 2.6.32-220.el6.i686 #1 SMP Tue Dec 6 16:15:40 GMT 2011 i686";".1.3.6.1.4.1.8072.3.2.10";"3 ÃÏ 0  ± 4 ∑÷ 18 √Î  ";"Root <root@localhost> (configure /etc/snmp/snmp.local.conf)";"localhost.localdomain";"Unknown (edit /etc/snmp/snmpd.conf)";"";"";"";"";"";"";"";"";"";"";"";"";"";"public";"";"172.20.21.160";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"00-0D-48-2E-69-BD";"";"";"05/25/17 09:32:16 AM";"05/25/17 09:32:16 AM";"";"00-0D-48-2E-69-BD";"localhost.localdomain";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.160";"1";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.198";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"44-A8-42-49-12-23";"";"80";"05/25/17 09:32:43 AM";"05/25/17 09:32:43 AM";"";"44-A8-42-49-12-23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.198";"1";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.199";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"44-A8-42-49-03-3D";"";"80";"05/25/17 09:32:57 AM";"05/25/17 09:32:57 AM";"";"44-A8-42-49-03-3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.199";"1";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.200";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"F0-4D-A2-24-43-50";"";"";"05/25/17 09:33:12 AM";"05/25/17 09:33:12 AM";"";"F0-4D-A2-24-43-50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.200";"1";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.203";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"44-A8-42-49-09-59";"";"80";"05/25/17 09:33:27 AM";"05/25/17 09:33:27 AM";"";"44-A8-42-49-09-59";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.203";"1";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.205";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"00-0C-29-19-12-3D";"";"";"05/25/17 09:33:41 AM";"05/25/17 09:33:41 AM";"";"00-0C-29-19-12-3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.205";"1";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.207";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"00-0C-29-A5-1E-00";"";"";"05/25/17 09:33:56 AM";"05/25/17 09:33:56 AM";"";"00-0C-29-A5-1E-00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.207";"1";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.212";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"00-0C-29-C5-23-40";"";"";"05/25/17 09:34:12 AM";"05/25/17 09:34:12 AM";"";"00-0C-29-C5-23-40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.212";"1";"0";"0";"250";"1";"0";
